Show #,date,location,venue,setlist
166,"April 30, 1992"," Houston, TX",Unicorn Club,"['Wash', 'Once', 'Suggestion', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Improv', 'Brass in Pocket', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Improv', 'Leash']"
167,"May 2, 1992"," Lawrence, KS",University of Kansas,"['Even Flow', 'Black', 'We Belong Together', 'Porch', 'State Of Love And Trust', 'Once', 'Alive', ""Rockin' In The Free World""]"
168,"May 3, 1992"," Omaha, NE",The Ranch Bowl,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Improv', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Improv', 'Porch', 'Garden', 'Happy Birthday', ""Rockin' In The Free World""]"
169,"May 5, 1992"," Boulder, CO",Glenn Miller Ballroom,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', ""Improv (I'm Not Crazy)"", 'Once', 'Improv', 'Porch', 'Suggestion', 'Garden', 'Angie', 'Leash', ""Rockin' In The Free World""]"
170,"May 7, 1992"," Bozeman, MT",Gallitan Fairgrounds,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Porch', 'Garden', 'Suggestion', ""Rockin' In The Free World""]"
171,"May 9, 1992"," Mesa, AZ",Mesa Amphitheater,"['Even Flow', 'Why Go', 'Jeremy', 'Suggestion', 'Leash', 'Alive', 'Black', 'State Of Love And Trust', 'Improv', 'Once', 'Porch', 'Garden', ""Rockin' In The Free World""]"
172,"May 10, 1992"," Tijuana, MX",Iguana's,['No setlist information available...']
173,"May 11, 1992"," Los Angeles, CA",KLOS Studios,['Footsteps']
174,"May 12, 1992"," Ventura, CA",Ventura Theater,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Why Go', 'Improv (Part Where I Play The Pope)', 'Crazy', 'Porch', 'Suggestion', 'Garden', ""Rockin' In The Free World"", 'Footsteps']"
175,"May 13, 1992"," Hollywood, CA",Palladium,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Improv', 'State Of Love And Trust', 'Improv', 'Once', 'Crazy', 'Porch', 'Garden', ""Rockin' In The Free World""]"
176,"May 15, 1992"," San Francisco, CA",Warfield Theater,"['Wash', 'Once', 'Improv (Homeless)', 'My Mama Told Me', 'You Tell Me', 'Even Flow', 'State Of Love And Trust', 'Alive', ""I Can't Explain"", 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Sympathy for The Devil', ""I've Got a Feeling"", 'Why Go', 'Porch', 'Leash', ""Rockin' In The Free World""]"
177,"May 16, 1992"," Santa Cruz, CA",The Catalyst,['No setlist information available...']
178,"May 17, 1992"," Portland, OR",Roseland Theater,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Improv', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Improv', 'Once', 'Owner of a Lonely Heart', 'Happy Birthday', 'Porch', 'Suggestion', 'Garden', ""School's Out"", 'Outshined', 'Leash', 'Angel', ""Rockin' In The Free World""]"
179,"May 19, 1992"," Portland, OR",Melody Lane Ballroom,['No setlist information available...']
180,"May 21, 1992"," Vancouver, BC",Plaza of Nations,['No setlist information available...']
181,"June 5, 1992"," Nuernburg, DEU",Nuerburgring,"['Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Once', 'Porch', 'Suggestion', ""I've Got a Feeling"", ""Rockin' In The Free World""]"
182,"June 6, 1992"," London, UK",Finsbury Park,"['Wash', 'Once', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Even Flow', 'Porch', ""Rockin' In The Free World""]"
183,"June 8, 1992"," Landgraaf, NL",Pinkpop Festival,"['Even Flow', 'Why Go', 'Rain', 'Jeremy', 'Deep', 'Alive', 'War Pigs', 'Black', 'We Belong Together', 'Leash', 'Once', 'Porch', 'Pulled Up', 'Suggestion', ""Rockin' In The Free World""]"
184,"June 10, 1992"," Stuttgart, DEU",Kongresszentrum,"['Release', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Once', 'Porch', 'Suggestion', 'Garden', 'Outshined', 'Leash', ""Rockin' In The Free World""]"
185,"June 11, 1992"," Hamburg, DEU",Grosse Freiheit,"['Footsteps', 'Once', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Improv', 'Even Flow', 'Porch', 'Garden', ""Rockin' In The Free World""]"
186,"June 13, 1992"," Berlin, DEU",Wuhlheide,"['Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Leash', 'Once', 'Porch']"
187,"June 14, 1992"," Bremen, DEU",Go Bang Festival,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'State Of Love And Trust', 'Once', 'Porch', 'Leash', ""Rockin' In The Free World""]"
188,"June 15, 1992"," Nuremberg, DEU",Serenadenhof,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Improv', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Suggestion', 'Leash', ""Rockin' In The Free World""]"
189,"June 17, 1992"," Milan, IT",City Square,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'State Of Love And Trust', 'Improv', 'Black', 'Alive', 'Improv', 'Once', 'Footsteps', 'Three Little Birds', 'Deep', 'When The Saints Come Marching In', 'Porch', 'Suggestion', 'Garden', ""Rockin' In The Free World""]"
190,"June 18, 1992"," Zurich, CH",Volkshaus,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'State Of Love And Trust', 'Improv', 'Black', 'We Belong Together', 'Alive', 'Improv', 'Once', 'Footsteps', 'Deep', 'Leash', 'Shower The People', 'Brass in Pocket', 'Meaningless', 'Porch', 'Suggestion', 'Garden', ""Rockin' In The Free World""]"
191,"June 19, 1992"," Vienna, AT",Rockhaus,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'State Of Love And Trust', 'Black', 'Alive', 'Improv', 'Once', 'Footsteps', 'Deep', 'Improv', 'Leash', 'Porch', 'Garden', ""Rockin' In The Free World""]"
192,"June 22, 1992"," Paris, FR",Elysee-Montmartre,"['Oceans', 'Even Flow', 'Improv', 'Why Go', 'Jeremy', 'State Of Love And Trust', 'Black', 'We Belong Together', 'Alive', 'Once', 'Footsteps', 'Deep', 'Leash', 'Porch', 'Improv', 'Garden', ""Rockin' In The Free World""]"
193,"June 25, 1992"," Stockholm, SE",Moderna Museet,"['Driven To Tears', 'Throw Your Arms Around Me', 'Even Flow', 'Once', 'State Of Love And Trust', 'Alive', 'Improv', 'Black', 'We Belong Together', 'Help Me Rhonda', 'Deep', 'Jeremy', 'Why Go', 'Improv', 'Porch', 'Suggestion', 'Garden', 'Leash', ""I've Got a Feeling"", 'Dolly Dagger', 'Three Little Birds', ""Rockin' In The Free World"", 'Release', 'Footsteps']"
194,"June 26, 1992"," Copenhagen, DK",Roskilde Festival,"['Redemption Song', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Improv', 'Once', 'Porch']"
195,"July 18, 1992"," Mountain View, CA",Shoreline Ampitheater,"['State Of Love And Trust', 'Why Go', 'Once', 'Alive', 'Even Flow', 'Jeremy', 'Deep', 'Porch']"
196,"July 19, 1992"," Mountain View, CA",Shoreline Ampitheater,"['Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Once', 'Porch']"
197,"July 21, 1992"," Vancouver, BC",Thunderbird Stadium,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Once', 'Porch']"
198,"July 22, 1992"," Bremerton, WA",Kitsap County Fairgrounds,"['Even Flow', 'Why Go', 'Jeremy', 'Suggestion', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Once', 'Porch', ""Rockin' In The Free World""]"
199,"July 25, 1992"," Denver, CO",Fiddler's Green,"['Once', 'State Of Love And Trust', 'Even Flow', 'Jeremy', 'Why Go', 'Alive', 'Porch', ""Rockin' In The Free World""]"
200,"July 27, 1992"," Maryland Heights, MO",Riverport Amphitheater,"['Even Flow', 'Once', 'Breath', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Porch']"
201,"July 28, 1992"," Cincinnati, OH",Riverbend Music Center,"['Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Garden', 'Alive', 'Leash', 'Porch']"
202,"July 29, 1992"," Cuyahoga Falls, OH",Blossom Music Center,"['Summertime Rolls', 'Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Garden', 'Alive', 'Improv', 'Porch']"
203,"July 31, 1992"," Clarkston, MI",Pine Knob Music Theatre,['No setlist information available...']
204,"August 1, 1992"," Clarkston, MI",Pine Knob Music Theatre,"['Porch', 'Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Breath', 'State Of Love And Trust', 'Alive', 'Once']"
205,"August 2, 1992"," Orlando, FL",On The Edge FM,"['Why Go', 'Even Flow', 'Garden', 'Alive']"
206,"August 2, 1992"," Tinley Park, IL",World Music Amphitheater,"['Summertime Rolls', 'Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Alive', 'Black', 'We Belong Together', 'Once', 'Porch']"
207,"August 4, 1992"," Saratoga Springs, NY",Saratoga Performing Arts Center,"['Once', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Black', 'We Belong Together', 'Alive', 'Porch']"
208,"August 5, 1992"," Barrie, ON",Molson Park,"['Even Flow', 'Jeremy', 'Alive', 'Black', 'Porch']"
209,"August 7, 1992"," Mansfield, MA",Great Woods,"['Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Garden', 'Hard To Imagine', 'Alive', 'Leash', 'Porch']"
210,"August 8, 1992"," Mansfield, MA",Great Woods,"['Even Flow', 'Summertime Rolls', 'Why Go', 'Deep', 'Jeremy', 'Alive', 'Sweet Emotion', 'Black', 'We Belong Together', 'Once', 'Porch']"
211,"August 9, 1992"," Wantagh, NY",Jones Beach Amphitheater,"['Summertime Rolls', 'Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Garden', 'Alive', 'Porch']"
212,"August 12, 1992"," Stanhope, NJ",Waterloo Village,"['Even Flow', 'Why Go', 'Deep', 'Jeremy', 'Alive', 'State Of Love And Trust', 'Porch', ""Rockin' In The Free World""]"
213,"August 14, 1992"," Reston, VA",Lake Fairfax Park,"['Once', 'Why Go', 'Jeremy', 'Hunger Strike', 'Breath', 'Even Flow', 'Sweet Emotion', 'Alive', 'Porch', 'We Want Control of Our Bodies']"
214,"August 15, 1992"," Scranton, PA",Montage Mountain Performing Arts Center,"['Why Go', 'Deep', 'Jeremy', 'Breath', 'Even Flow', 'Alive', 'Porch', 'Improv', 'Tearing', 'We Want Control of Our Bodies', ""Rockin' In The Free World""]"
215,"August 16, 1992"," Pittsburgh, PA",Star Lake Amphitheater,"['Even Flow', 'Why Go', 'Deep', 'Jeremy', 'Hard To Imagine', 'Alive', 'Once', 'Porch', 'Tearing', ""What's The Use"", ""Baba O'Riley"", ""Rockin' In The Free World""]"
216,"August 18, 1992"," Raleigh, NC",Walnut Creek Amphitheater,['No setlist information available...']
217,"August 20, 1992"," Atlanta, GA",HiFi Buys Amphitheater,"['Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Alive', 'Hard To Imagine', 'Porch', ""Baba O'Riley"", ""Rockin' In The Free World""]"
218,"August 22, 1992"," Miami, FL",Bicentennial Park Grounds,"['Even Flow', 'Why Go', 'Deep', 'Jeremy', 'Suggestion', 'Alive', 'Garden', 'Porch', ""Rockin' In The Free World""]"
219,"August 23, 1992"," Orlando, FL",Central Florida Fairgrounds,"['Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Black', 'We Belong Together', 'Alive', 'Porch', 'Tearing', ""Baba O'Riley""]"
220,"August 25, 1992"," Charlotte, NC",Blockbuster Pavilion,"['Even Flow', 'Why Go', 'Suggestion', 'Deep', 'Jeremy', 'Once', 'Alive', 'Improv', 'Fuck tha Police', 'Tearing', 'Black', 'We Belong Together', ""If I Can't Have You"", 'Take Control', 'Porch', ""Rockin' In The Free World""]"
221,"August 28, 1992"," St. Paul, MN",Harriet Island,"['Why Go', 'Deep', 'Jeremy', 'Breath', 'Even Flow', 'Hard To Imagine', 'Alive', 'Porch', 'Tearing', ""Rockin' In The Free World""]"
222,"August 29, 1992"," East Troy, WI",Alpine Valley,"['Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Black', 'We Belong Together', 'Hard To Imagine', 'Alive', 'Porch', 'Tearing', ""Baba O'Riley""]"
223,"September 1, 1992"," Atlanta, GA",HiFi Buys Amphitheater,['No setlist information available...']
224,"September 4, 1992"," New Orleans, LA",UNO Soccer Field,"['Why Go', 'Even Flow', 'Jeremy', 'Deep', 'Alive', 'Porch', 'Garden', ""Baba O'Riley""]"
225,"September 5, 1992"," Houston, TX",Fort Bend County Fairgrounds,"['Oceans', 'Why Go', 'Deep', 'Jeremy', 'Even Flow', 'Alive', 'Porch', ""Rockin' In The Free World""]"
226,"September 6, 1992"," Dallas, TX",Coca-Cola Starplex Amphitheatre,['No setlist information available...']
227,"September 8, 1992"," Phoenix, AZ",Desert Sky Pavilion,"['Sonic Reducer', 'Even Flow', 'Why Go', 'Deep', 'Jeremy', 'Hard To Imagine', 'Alive', 'Black', 'We Belong Together', 'Porch', 'Tearing', ""Baba O'Riley""]"
228,"September 9, 1992"," Los Angeles, CA",Pauley Pavilion,['Jeremy']
229,"September 10, 1992"," Los Angeles, CA",Park Plaze Hotel Ballroom,"['State Of Love And Trust', ""Baba O'Riley"", ""Rockin' In The Free World""]"
230,"September 11, 1992"," Irvine, CA",Irvine Meadows,"['Why Go', 'Deep', 'Jeremy', 'Sonic Reducer', 'Even Flow', 'Hard To Imagine', 'Alive', 'Porch', 'Tearing', 'So What']"
231,"September 12, 1992"," Irvine, CA",Irvine Meadows,"['Even Flow', 'Why Go', 'Deep', 'Jeremy', 'Breath', 'Sonic Reducer', 'Hard To Imagine', 'Alive', 'Porch', ""Rockin' In The Free World""]"
232,"September 13, 1992"," Irvine, CA",Irvine Meadows,"[""Baba O'Riley"", 'Sonic Reducer', 'Even Flow', 'Jeremy', 'Hard To Imagine', 'Alive', 'Porch', 'Tearing', ""Rockin' In The Free World"", 'Hunger Strike', 'Reach Down']"
233,"September 20, 1992"," Seattle, WA",Warren G. Magnuson Park,"['Even Flow', 'Once', 'State Of Love And Trust', 'Why Go', 'Deep', 'Jeremy', 'Black', 'We Belong Together', 'Alive', 'Garden', 'Funk #49', 'Porch', 'Tearing', 'Sonic Reducer', ""Rockin' In The Free World""]"
234,"September 25, 1992"," Honolulu, HI",Andrew's Amphitheater,['No setlist information available...']
235,"September 26, 1992"," Honolulu, HI",Andrew's Amphitheater,"['Release', 'Why Go', 'Deep', 'Jeremy', 'Breath', 'Even Flow', 'Improv', 'State Of Love And Trust', 'Black', 'We Belong Together', 'Hard To Imagine', 'Alive', 'Porch', 'Improv', 'Sonic Reducer', ""Rockin' In The Free World""]"
236,"September 27, 1992"," Maui, HI",War Memorial Gymnasium,"['Release', 'Why Go', 'Deep', 'Jeremy', 'Breath', 'Even Flow', 'State Of Love And Trust', 'Black', 'Alive', 'Porch', ""I've Got a Feeling""]"
237,"October 16, 1992"," New York, NY",Madison Square Garden,['Masters Of War']
238,"November 1, 1992"," Mountain View, CA",Shoreline Ampitheater,"['Footsteps', 'Jeremy', 'Black', 'Alive', 'Daughter', 'Angel', 'I Am A Patriot']"
239,"December 31, 1992"," New York, NY",The Academy,"['Wash', 'Sonic Reducer', 'Why Go', 'Even Flow', 'Alone', 'Garden', 'Daughter', 'Dirty Frank', 'Oceans', 'Alive', 'Leash', 'Porch']"
240,"January 1, 1970"," , ",,['No setlist information available...']
241,"January 1, 1970"," , ",,['No setlist information available...']
242,"May 13, 1993"," San Francisco, CA",Slim's Café,"['Animal', 'Go', 'Even Flow', 'Blood', 'Daughter', 'W.M.A.', 'Dissident', 'Why Go', 'Alive', 'Hard To Imagine', 'Rearviewmirror', 'Better Man', 'Dirty Frank', 'Rats', ""Baba O'Riley"", 'Once', 'Jeremy', 'Girls Just Want To Have Fun', 'Porch', 'Tearing', 'Release', 'Alone', 'Dirty Deeds Done Dirt Cheap', 'Whipping', 'Leash', 'Sonic Reducer']"
243,"June 16, 1993"," Missoula, MT","University Theatre, University of Montana","['Animal', 'Go', 'Whipping', 'Even Flow', 'Dissident', 'Once', 'Glorified G', 'Why Go', 'Jeremy', 'Elderly Woman Behind The Counter In A Small Town', 'Alive', 'Black', 'Blood', 'Oceans', 'Deep', 'Leash', 'Rats', 'Dirty Frank', 'Porch', ""Fuckin' Up"", ""Baba O'Riley"", 'Garden', 'Indifference']"
244,"June 17, 1993"," Spokane, WA",The Met,['Jeremy']
245,"June 26, 1993"," Oslo, NOR",Sentrum Scene,"['Jeremy', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Even Flow', 'Glorified G', 'Daughter', 'W.M.A.', 'Garden', 'Go', 'Animal', 'Alive', 'Porch', ""Fuckin' Up"", 'Leash', 'Sonic Reducer', ""Rockin' In The Free World"", 'State Of Love And Trust']"
246,"June 27, 1993"," Oslo, NOR",Isle of Calf Festival,"['Even Flow', 'Animal', 'Go', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Deep', 'Why Go', 'Jeremy', 'Black', 'We Belong Together', 'Alive', 'Glorified G', 'Daughter', 'Pulled Up', 'Porch', 'Tearing', 'Oceans', 'Leash', 'Sonic Reducer']"
247,"June 28, 1993"," Stockholm, SE",Sjöhistoriska Museet,"['Animal', 'Go', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Why Go', 'Jeremy', 'Black', 'We Belong Together', 'Alive', 'Sonic Reducer', 'Porch', 'Tearing', 'Daughter', ""Tonight's The Night""]"
248,"June 30, 1993"," Helsinki, FI",Jäähalli,"['Animal', 'Even Flow', 'Why Go', 'Jeremy', 'Glorified G', 'Daughter', 'Black', 'We Belong Together', 'Alive', 'Porch', 'Across The Universe', ""Fuckin' Up""]"
249,"July 2, 1993"," Verona, IT",Stadio Bentegodi,"['Even Flow', 'Animal', 'Go', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Why Go', 'Jeremy', 'Black', 'We Belong Together', 'Alive', 'Porch']"
250,"July 3, 1993"," Verona, IT",Stadio Bentegodi,"['Why Go', 'Jeremy', 'Even Flow', 'Glorified G', 'Daughter', 'Alive', 'Go', 'Sympathy for The Devil', 'Porch', ""Rockin' In The Free World""]"
251,"July 6, 1993"," Rome, IT",Stadio Flaminio,"['Why Go', 'Jeremy', 'Even Flow', 'Glorified G', 'Daughter', 'Animal', 'Alive', 'Dissident', 'Blood', 'Porch', 'Tearing']"
252,"July 7, 1993"," Rome, IT",Stadio Flaminio,"['Even Flow', 'Improv', 'Go', 'Once', 'Rearviewmirror', 'Why Go', 'Jeremy', 'Glorified G', 'Daughter', 'MLK', 'Alive', 'Black', 'We Belong Together', 'Blood', 'Porch', 'Tearing']"
253,"July 10, 1993"," Slane, IE",Slane Castle,"['Why Go', 'Jeremy', 'Even Flow', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Once', 'Glorified G', 'Daughter', 'Rain', 'Alive', 'Porch', 'Tearing', ""Baba O'Riley""]"
254,"July 11, 1993"," London, UK",Finsbury Park,"['Animal', 'Go', 'Once', 'Blood', 'Even Flow', 'Jeremy', 'Glorified G', 'Daughter', 'Alive', 'Improv', 'Why Go', 'Leash', 'Porch', ""Fuckin' Up"", 'Tearing']"
255,"July 13, 1993"," London, UK",Brixton Academy,"['Why Go', 'Deep', 'Jeremy', 'Blood', 'Dissident', 'Even Flow', 'Go', 'Animal', 'Black', 'We Belong Together', 'Glorified G', 'Daughter', 'Alive', 'Rats', 'Porch', 'Rearviewmirror', 'Whipping', 'Sonic Reducer', 'Once', 'Indifference']"
256,"July 14, 1993"," London, UK",Brixton Academy,"['Release', 'Even Flow', 'Blood', 'Animal', 'Why Go', 'Deep', 'Jeremy', 'Rearviewmirror', 'Beast of Burden', 'Suck You Dry', 'Alive', 'Black', 'Improv', 'We Belong Together', 'Go', 'Daughter', 'W.M.A.', 'Porch', 'Tearing', 'Once', 'Garden', 'State Of Love And Trust', 'Leash', ""Fuckin' Up"", 'Sonic Reducer', 'Indifference']"
257,"July 16, 1993"," Rotterdam, NL",Sportpaleis Ahoy,"['Release', 'Why Go', 'Deep', 'Jeremy', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Glorified G', 'Daughter', 'W.M.A.', 'Garden', 'Go', 'Animal', 'Alive', 'Black', 'We Belong Together', 'Porch', 'Tearing', 'Improv', 'Once', ""Fuckin' Up"", 'Leash', 'Sonic Reducer', ""Rockin' In The Free World"", 'State Of Love And Trust', 'Indifference']"
258,"July 17, 1993"," Rotterdam, NL",Sportpaleis Ahoy,"['Oceans', 'Even Flow', 'Once', 'Whipping', 'Rearviewmirror', 'Jeremy', 'Deep', 'Garden', 'Animal', 'State Of Love And Trust', 'Angie', 'Black', 'Every Breath You Take', 'Alive', 'Glorified G', 'Daughter', 'Ruby Tuesday', 'Why Go', 'Elderly Woman Behind The Counter In A Small Town', 'Leash', 'Porch', ""Fuckin' Up"", 'W.M.A.', 'Footsteps', ""Baba O'Riley""]"
259,"July 18, 1993"," Amsterdam, NL",Paradiso,"['Indifference', 'Even Flow', 'Even Flow', 'Glorified G', 'Daughter', 'Black', 'Why Go', 'Hard To Imagine', 'Jeremy', 'Porch']"
260,"August 11, 1993"," Calgary, AB",Max Bell Arena,['No setlist information available...']
261,"August 12, 1993"," Edmonton, AB",Convention Centre,"['Release', 'Even Flow', 'Once', 'Jeremy', 'Deep', 'Alive', 'Black', 'Garden', 'Why Go', 'Daughter', 'Owner of a Lonely Heart']"
262,"August 14, 1993"," Gimli, MB",Gimli Motorsport Park,"['Even Flow', 'Why Go', 'Deep', 'Jeremy', 'Animal', 'Glorified G', 'Daughter', 'Gimme Shelter', 'State Of Love And Trust', 'Go', 'Garden', 'Blood', 'Alive', 'Black', 'Every Breath You Take', 'Once', 'Porch', 'Indifference', 'Sonic Reducer', ""Rockin' In The Free World"", ""Baba O'Riley""]"
263,"August 17, 1993"," Hull, QC",Robert Guertin Arena,"['Go', 'Animal', 'Rearviewmirror', 'Once', 'Even Flow', 'Alive', 'Why Go', 'Black', 'Jeremy', 'Porch', 'Deep', 'Indifference', 'Daughter', ""Baba O'Riley""]"
